,АСУУЛТ,ХАРИУЛТ
79,Цалин руу илгээх баталгаажсан цагийг хаанаас авах боломжтой вэ?,Ирцийн нэгдсэн тайланд дурын байдлаар шүүж цаг нэгтгэлийн датаг авах боломжтой бөгөөд тухайн тайланд харагдаж буй баталгаажсан цагуудын дагуу цалин бодогдоно.
80,Илүү цаг авсан ажилтнуудыг яаж харах вэ?,Цаг бүртгэл=>Тайлан=>Лавлагаа цэснээс Илүү цаг авсан ажилтны тайлангаас авах боломжтой бөгөөд тухайн лавлагаанд батлагдсан ирцийн хүсэлтүүд болон авсан илүү цагууд ажилтан бүрийн хувьд харагдах боломжтой.
81,Тухайн ажилтан хуруугаа уншуулаагүй бол яах вэ?,"Хэрэв тухайн ажилтан хуваарьт өдрөө огт хуруу уншуулаагүй бол тухайн өдрийг тасалснаар авна. Харин зөвхөн өглөө уншуулаагүй тохиолдолд хоцорсон, орой уншуулаагүй тохиолдолд эрт тарсан баганууд руу цагийг бүртгэдэг."
82,Илүү цагийн ирцийн хүсэлтийг илүү цагаар биш нөхөж амраах эрх өгч баталж болох уу?,"Тухайн ирцийн хүсэлтийг батлахдаа илүү цагийг бүхэлд нь эсвэл хэсэгчлэн нөхөж амраахаар батлах боломжтой бөгөөд модулийн тохиргооноос илүү цагийг нөхөж амраахаар шууд батлах эсэхийг тохируулбал, ирцийн хүсэлтүүдийг батлах гэхэд бүх цаг нь нөхөж амрах эрхээр шууд батлагдахад бэлэн орж ирдэг."
83,Мобайлаас ирцийн хүсэлт яаж гаргах вэ?,Ажилтнууд өөрийн хэрэглэгчийн эрхээр мобайл програмаас ирцийн хүсэлтээ гаргах боломжтой. Мөн тухайн сарын ирцийн мэдээг харах боломжтой.
84,Цалин бодоход ямар ямар алхмууд хийгддэг вэ?,Системээр цалин бодоход дараах байдлаар боддог. Модулийн тохиргоо хийх=> Цалингийн загвар тохируулах=>Цалингийн хуваарь үүсгэх=>Цалин бодолт хийх=>Цалин өндөрлөлт хийх.
85,Цалингийн модулийн тохиргоо ямар хэрэгтэй вэ?,"Цалингийн модулийн тохиргоонд байгууллагын үндсэн валют, НДШ тооцох дээд хязгаар, ХХОАТ-н хөнгөлөлт зэрэг цалин бодоход хэрэгцээтэй дүнгүүдийг тохируулдаг."
86,Цалингийн хуваарь гэдэг нь юу вэ?,"Цалингийн хуваарь гэдэг нь тухайн байгууллага цалин бодолтоо хэдэн хэднээс тасалбар болгож боддог. Хэднээс хэдний цагийг цалин бодолтонд ашиглах, ямар томъёоны дагуу цалинг бодохыг тохируулдаг тохиргооны дэлгэц юм."
87,Цалингийн загварыг яаж тохируулах вэ?,Цалингийн загварыг тохируулахад цалингийн үзүүлэлтүүдийг ашиглан тухайн үзүүлэлтийг ямар товъёогоор бодохыг тохируулах боломжтой юм. Үзүүлэлт бүрийн хувьд томьёонуудыг өөр өөрөөр үүсгэх боломжтой бөгөөд энэ үзүүлэлтийг энэ үзүүлэлтийн дараа бодох ёстой гэсэн томьёо бодох дарааллыг зааж өгч загварыг тохируулдаг.
88,Томъёог яаж бичих вэ?,Бодолтын томъёог тусгай томъёо зохиох дэлгэцийн дагуу зохиох боломжтой бөгөөд ашиглагдах үзүүлэлтүүдийг томъёонд оролцуулан тухайн үзүүлэлтийн утгаар дүнг тооцоолох боломжтой байна.
89,Дурын үзүүлэлтүүд ашиглах боломжтой юу?,"Системд үндсэн үзүүлэлтүүд байдаг бөгөөд гараас үзүүлэлт нэмж бүртгэх боломжтой. Өөрөөр хэлбэл, цалин бодоход хэрэглэж болох үндсэн үзүүлэлтэд байхгүй өөр хэрэгтэй үзүүлэлтүүдийг өөрөө нэмж тохируулан, тухайн үзүүлэлтэд хамаарах томъёог бичих боломжтой."
90,Нэмэгдэл суутгалуудыг яаж бодох вэ?,Нэмэгдэл суутгалын загвар тохируулан тохируулсан загварын дагуу товъёогоор бодох боломжтой.
,,Нэмэгдэл суутгал бодох нь цалин бодох дэлгэцтэй ижил ажиллагаатай бөгөөд тохируулсан нэмэгдэл суутгалын загварын дагуу бодох боломжтой.
91,Цалингийн бүлэг гэж юу вэ?,Ажилтнуудын цалинг бодохдоо цалин нь ижил товъёогоор бодогддог эсвэл тодорхой бүлэг ажилтнуудыг бүлэглэн бүлгээр боддог бөгөөд тухайн ажилтнуудын цалин бодох бүлгийг Цалингийн бүлэг гэнэ.
92,Ажилтнуудыг цалингийн бүлэгт хэрхэн оруулах вэ?,Ажилтнуудыг цалингийн бүлэгт оруулахын тулд Цалин=>Бүртгэл=>Ажилчдын цалингийн бүлэг тогтоох дэлгэц болон Компанид ажил эрхэлж буй ажилтнуудын жагсаалтаас бүлэгт оруулах ажилтныг сонгон орж харгалзах Цалингийн бүлгийг сонгож хадгална.
93,Амралтын мөнгө бодоход яах вэ?,Ажилтны Ээлжийн амралтын мөнгийг бодохдоо Амралтын мөнгө бодох дэлгэц рүү орж бодох боломжтой бөгөөд тухайн бодогдсон амралтын мөнгө нь цалин бодолтын дэлгэцэд цалин бодоход орж ирдэг.
94,Тэтгэмжийн мөнгө яаж бодох вэ?,Ажилтны тэтгэмжийн мөнгийг бодохдоо Тэтгэмжийн мөнгө бодох дэлгэц рүү орж бодох боломжтой бөгөөд тухайн бодогдсон тэтгэмжийн мөнгө нь цалин бодолтын дэлгэцэд харгалзах үзүүлэлтийн утгад орж ирнэ.
95,Ямар нэг ажилтны цалин цалингийн хуваарь дундуур өөрчлөгдсөн бол яах вэ?,"Хэрэв ямар нэг ажилтны цалин буюу ажил эрхлэлт цалингийн хуваарийн дундуур өөрчлөгдсөн тохиолдолд тухайн ажилтан цалин бодолтын дэлгэцэнд 2 мөр болж харагдах бөгөөд цагийн, болон цалингийн мэдээллүүд харгалзах мөрүүдэд орж ирдэг. Ингэснээр тухайн ажилтны цалинг зөв бодох боломжтой болдог."
96,Цалин өндөрлөлтийн дэлгэц яаж ажилладаг вэ??,Цалин өндөрлөлт нь тухайн бодогдсон цалинг өндөрлөх бөгөөд тухайн өндөрлөсөн цалин нь өөрчлөгдөх боломжгүй болдог. Өндөрлөлтийг цуцалснаар тухайн цалинг дахин бодох боломжтой болно.
97,Цалингийн шилжүүлгийн файл үүсгэх боломжтой юу?,Боломжтой. Бодогдсон цалинг өндөрлөлт хийснээр тухайн цалингийн шилжүүлгийн файлыг үүсгэх боломжтой бөгөөд шилжүүлгийн файлыг үүсгэхдээ хэсэгчлэн буюу ажилтнуудын олгох цалингийн тодорхой хувийг олгох байдлаар үүсгэх боломжтой.
98,Цалингийн ямар ямар тайлангууд гардаг вэ?,"Цалингийн лавлагаа хэсэгт НДШ8, НДШ7, ТТ11-1 зэрэг стандарт тайлангууд бэлэн байгаа бөгөөд үүнээс гадна тохиргоот лавлагаагаар ажилтнуудын цалингийн мэдээллийг хэрэгцээт багануудын нийлбэрүүдийг авч ирэх байдлаар авах боломжтой."
99,Цалингийн мэдээг имэйлээр илгээх боломжтой юу?,Цалингийн мэдээг стандарт форматын дагуу имэйлээр илгээх боломжтой бөгөөд тухайн үүсгэсэн имэйлийн загварын дагуу ажилтнууд цалингийн мэдээллээ веб порталаар харах боломжтой.
100,Цалингийн зардлыг яаж тохируулдаг вэ?,Цалингийн тохиргоот лавлагаагаар цалингийн дурын үзүүлэлтийг дурын байдлаар шүүлт хийж зардлыг хуваарилах боломжтой бөгөөд үүний тулд тохиргоог дансны тохиргоонд хийнэ.
